v1.0
"Rank","Team Name","Total","Round 1","J","Round 2","J","Round 3","J","Round 4","J","Round 5","J","Round 6","J","Round 7","J","Round 8","J"," ","Total","Notes"
1,"The Trivia Ninjas",79,79,,0,,0,,0,,0,,0,,0,,0,,0,79,
2,"Solitary Confinement",74,74,,0,,0,,0,,0,,0,,0,,0,,0,74,
3,"O’Trivia Newton John",71,71,,0,,0,,0,,0,,0,,0,,0,,0,71,
4,"The Panicking Penguins",69,69,,0,,0,,0,,0,,0,,0,,0,,0,69,
5,"Déjà brew",68,68,,0,,0,,0,,0,,0,,0,,0,,0,68,
6,"The last Costco rotisserie chicken at the glue factory: by fallout boy",62,62,,0,,0,,0,,0,,0,,0,,0,,0,62,
6,"The actual Garlic Queens",62,62,,0,,0,,0,,0,,0,,0,,0,,0,62,
8,"The Big FO Ordered a Venus Veil",60,60,,0,,0,,0,,0,,0,,0,,0,,0,60,
9,"Hateful 6.0",57,57,,0,,0,,0,,0,,0,,0,,0,,0,57,
10,"Verocious penguins",55,55,,0,,0,,0,,0,,0,,0,,0,,0,55,
11,"Mighty Morphine Power Rangers",53,53,,0,,0,,0,,0,,0,,0,,0,,0,53,
11,"Trees Co.",53,53,,0,,0,,0,,0,,0,,0,,0,,0,53,
13,"FIGJAM",52,52,,0,,0,,0,,0,,0,,0,,0,,0,52,
14,"Darmok and Jalad on the ocean",51,51,,0,,0,,0,,0,,0,,0,,0,,0,51,
15,"The Circus Freaks",43,43,,0,,0,,0,,0,,0,,0,,0,,0,43,
16,"Lobo Solo",31,31,,0,,0,,0,,0,,0,,0,,0,,0,31,
17,"Latetotheparty",29,29,,0,,0,,0,,0,,0,,0,,0,,0,29,
18,"The Hateful 6",1,1,,0,,0,,0,,0,,0,,0,,0,,0,1,
19,"Trees co.",0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,
19,"Garlic Gang",0,0,,0,,0,,0,,0,,0,,0,,0,,0,0,
